priority_order,normalized_word,learner_rank,source_memberships,original_source_lemmas,rank_source,rank_source_version,rank_source_url,rank_source_license
464,maybe,464,"[""ngsl-core""]","[""maybe""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
465,community,465,"[""ngsl-core""]","[""community""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
466,else,466,"[""ngsl-core""]","[""else""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
467,particular,467,"[""ngsl-core""]","[""particular""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
468,role,468,"[""ngsl-core""]","[""role""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
469,join,469,"[""ngsl-core""]","[""join""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
470,difficult,470,"[""ngsl-core""]","[""difficult""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
471,please,471,"[""ngsl-core""]","[""please""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
472,detail,472,"[""ngsl-core""]","[""detail""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
473,difference,473,"[""ngsl-core""]","[""difference""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
474,action,474,"[""ngsl-core""]","[""action""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
475,health,475,"[""ngsl-core""]","[""health""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
476,eat,476,"[""ngsl-core""]","[""eat""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
477,step,477,"[""ngsl-core""]","[""step""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
478,true,478,"[""ngsl-core""]","[""TRUE""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
479,phone,479,"[""ngsl-core""]","[""phone""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
480,themselves,480,"[""ngsl-core""]","[""themselves""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
481,draw,481,"[""ngsl-core""]","[""draw""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
482,white,482,"[""ngsl-core""]","[""white""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
483,date,483,"[""ngsl-core""]","[""date""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
484,practice,484,"[""ngsl-core""]","[""practice""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
485,model,485,"[""ngsl-core""]","[""model""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
486,raise,486,"[""ngsl-core""]","[""raise""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
487,customer,487,"[""ngsl-core""]","[""customer""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
488,front,488,"[""ngsl-core""]","[""front""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
489,explain,489,"[""ngsl-core""]","[""explain""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
490,door,490,"[""ngsl-core""]","[""door""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
491,outside,491,"[""ngsl-core""]","[""outside""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
492,behind,492,"[""ngsl-core""]","[""behind""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
493,economic,493,"[""ngsl-core""]","[""economic""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
494,site,494,"[""ngsl-core""]","[""site""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
495,approach,495,"[""ngsl-core""]","[""approach""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
496,teacher,496,"[""ngsl-core""]","[""teacher""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
497,land,497,"[""ngsl-core""]","[""land""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
498,charge,498,"[""ngsl-core""]","[""charge""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
499,finally,499,"[""ngsl-core""]","[""finally""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
500,sign,500,"[""ngsl-core""]","[""sign""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
